FirstName,LastName,StudentID,Gender,Age,Department,Attendance,Midterm,Assignment,Project,Final,GPA,Grade,study_hours_per_week,total_score,participation_in_class,participation_score,quizzes_avg
Divya,Yadav,STU00027,Male,19,Physics,52.69,97.02,68.31,61.53,77.31,3.04,B,10.3,76.04,Medium,52,57.1
John,Brown,STU00028,Female,21,Commerce,74.28,45.27,50.61,94.28,37,2.27,D,7.7,56.79,High,100,44.3
Rahul,Patel,STU00029,Female,22,Engineering,66.57,79.45,50.01,84.45,49.91,2.64,C,33.8,65.96,High,90,95.64
Imran,Verma,STU00030,Female,18,CS,52.72,64.79,57.22,82.25,94.69,2.99,B,7.3,74.74,Medium,77,91.29
Ahmed,Kumar,STU00031,Male,24,Mathematics,81.99,44.89,70.77,77.89,53.39,2.47,C,6.8,61.73,Medium,54,83.96
Simran,Verma,STU00032,Male,21,CS,61.6,69.84,61.65,75.14,74.69,2.81,B,22.6,70.33,Medium,70,64.09
Ravi,Patel,STU00033,Female,24,Commerce,89.32,81.39,97.06,52.43,55.52,2.86,B,22.7,71.6,High,100,81.19
John,Smith,STU00034,Female,23,AI & ML,93.56,47.4,96.66,48.02,60.05,2.52,C,20.0,63.03,High,91,96.34
Sara,Brown,STU00035,Female,22,AI & ML,92.69,61.36,83.82,57.8,66.58,2.7,C,11.3,67.39,Medium,75,46.08
Rahul,Johnson,STU00036,Male,20,AI & ML,95.38,90.32,84.34,57.93,84.51,3.17,B,17.2,79.28,Medium,67,94.42
Divya,Sharma,STU00037,Male,18,Commerce,96.03,53.83,62.23,89.23,40.96,2.46,C,34.0,61.56,Medium,60,86.98
Aman,Singh,STU00038,Female,23,AI & ML,81.09,64.68,68.28,96.96,36.39,2.66,C,32.3,66.58,High,94,80.68
Anjali,Kumar,STU00039,Male,23,CS,57.21,77.99,60.37,78.97,77.02,2.94,B,28.2,73.59,Medium,66,77.97
Rahul,Patel,STU00040,Male,20,Physics,71.8,73.25,96.63,60.43,99.33,3.3,A,13.1,82.41,High,97,71.97
Karan,Smith,STU00041,Male,22,CS,78.91,38.57,66.58,59.94,87.4,2.52,C,28.9,63.12,Low,39,70.74
Ali,Brown,STU00042,Female,21,Engineering,89.41,52.81,71.35,96.35,36.5,2.57,C,33.0,64.25,High,93,56.0
Maria,Sharma,STU00043,Female,20,Mathematics,75.87,53.53,95.81,65.31,59.68,2.74,C,26.5,68.58,Medium,71,42.34
Imran,Patel,STU00044,Female,20,Physics,99.31,47.52,44.88,80.89,65.65,2.39,D,14.5,59.74,Medium,63,43.22
Deepa,Johnson,STU00045,Male,18,Physics,62.16,94.22,79.85,70.04,45.31,2.89,B,5.8,72.36,Medium,69,68.2
Deepa,Williams,STU00046,Male,19,Business,57.93,93.88,94.6,80.09,77.03,3.46,A,13.7,86.4,High,91,61.46
Kabir,Yadav,STU00047,Female,22,CS,52.12,39.53,45.54,63.21,90.94,2.39,D,20.5,59.8,High,96,47.77
Pooja,Patel,STU00048,Male,19,Business,61.09,52.48,73.99,53.59,57.17,2.37,D,23.1,59.31,High,80,91.56
Pooja,Jones,STU00049,Female,23,CS,90.51,70.88,61.87,41.11,96.16,2.7,C,19.1,67.5,Medium,77,47.98
Priya,Davis,STU00050,Male,20,Mathematics,60.44,70.08,78.64,61.68,62.26,2.73,C,17.7,68.17,Medium,73,56.72
Rahul,Patel,STU00051,Male,21,AI & ML,82.84,63.5,85.79,72.73,50.75,2.73,C,6.6,68.19,Low,47,76.5
Deepa,Patel,STU00052,Male,23,AI & ML,63.36,83.87,59.62,53.61,88.79,2.86,B,27.7,71.47,Low,37,71.96
Karan,Brown,STU00053,Female,22,AI & ML,58.08,57.68,41.04,45.18,89.09,2.33,D,11.1,58.25,Low,43,44.25
Sneha,Davis,STU00054,Female,21,CS,81.24,49.96,74.68,83.13,67.77,2.76,C,18.8,68.89,Medium,72,66.97
Karan,Brown,STU00055,Male,21,AI & ML,97.43,36.84,51.69,74.4,62.49,2.25,D,19.9,56.36,High,82,52.93
Divya,Kumar,STU00056,Male,18,Physics,56.64,57.26,47.97,63.99,93.21,2.62,C,16.8,65.61,Medium,75,72.04
Neha,Patel,STU00057,Female,22,Physics,71.45,82.35,41.76,63.65,80.28,2.68,C,29.1,67.01,Medium,71,52.01
Ali,Brown,STU00058,Female,20,CS,81.84,51.86,87.52,42.12,51.71,2.33,D,27.1,58.3,Medium,62,50.7
Karan,Sharma,STU00059,Male,19,Mathematics,84.02,70.75,56.11,42.62,98.3,2.68,C,34.8,66.94,Medium,58,85.52
Aman,Yadav,STU00060,Female,20,Engineering,99.77,51.57,60.78,73.94,89.06,2.75,C,17.6,68.84,Low,37,71.52
Divya,Williams,STU00061,Female,19,Commerce,87.61,80.56,99.13,89.38,80.86,3.5,A,5.2,87.48,Medium,69,87.74
Arjun,Davis,STU00062,Male,21,Mathematics,70.21,51.7,48.13,67.02,87.64,2.54,C,15.5,63.62,Medium,78,89.44
Imran,Davis,STU00063,Female,23,Mathematics,56.96,89.78,57.13,89.66,95.64,3.32,A,10.6,83.05,Low,49,77.93
Karan,Davis,STU00064,Male,21,CS,60.03,63.36,84.37,40.13,35.74,2.24,D,7.8,55.9,Medium,67,55.67
Aman,Smith,STU00065,Male,21,Engineering,64.2,35.24,95.18,64.16,68.79,2.63,C,24.8,65.84,Medium,54,94.85
Rakesh,Johnson,STU00066,Male,21,Mathematics,91.61,65.36,52.33,50.98,94.26,2.63,C,10.4,65.73,Low,48,95.12
John,Kumar,STU00067,Male,19,Business,59.13,46.14,82.66,86.26,81.93,2.97,B,25.2,74.25,Medium,71,53.81
Rohit,Davis,STU00068,Male,19,Commerce,97.55,53.7,71.59,93.39,73.87,2.93,B,23.3,73.14,High,91,95.01
Emma,Williams,STU00069,Male,23,Mathematics,64.08,41.98,74.1,61.32,53.72,2.31,D,29.9,57.78,Medium,59,62.67
Raj,Jones,STU00070,Female,24,Business,63.03,89.03,88.29,71.74,46.96,2.96,B,22.8,74.0,Medium,54,60.0
Ahmed,Singh,STU00071,Female,24,AI & ML,91.18,74.74,53.79,87.98,58.95,2.75,C,7.7,68.86,High,84,82.65
Divya,Patel,STU00072,Male,22,Commerce,75.8,92.91,81.07,61.68,77.97,3.14,B,16.4,78.41,Medium,55,64.85
Neha,Singh,STU00073,Female,22,Physics,77.95,47.39,59.46,58.91,60.96,2.27,D,33.7,56.68,Low,30,71.54
Neha,Singh,STU00074,Male,24,AI & ML,81.58,47.37,65.24,58.55,87.84,2.59,C,28.0,64.75,Medium,73,63.47
Karan,Davis,STU00075,Male,21,Physics,93.69,79.83,44.5,82.64,49.68,2.57,C,33.0,64.16,Low,20,48.0
Sara,Sharma,STU00076,Male,19,Mathematics,55.21,86.07,70.67,81.88,91.85,3.3,A,10.6,82.62,Medium,72,65.68
Anjali,Sharma,STU00077,Female,20,CS,65.65,53.71,88.22,58.21,81.21,2.81,B,28.5,70.34,Medium,74,57.68
Raj,Williams,STU00078,Male,19,Mathematics,64.96,56.43,67.96,73.2,51.44,2.49,C,19.8,62.26,Low,37,89.15
Ravi,Johnson,STU00079,Male,20,CS,62.22,97.82,63.81,97.27,88.11,3.47,A,10.4,86.75,High,86,87.43
Rahul,Davis,STU00080,Female,20,Physics,73.9,83.92,83.27,47.3,61.22,2.76,C,32.5,68.93,Medium,56,40.14
Arjun,Verma,STU00081,Female,22,CS,89.35,93.15,50.15,71.55,40.88,2.56,C,32.4,63.93,Medium,71,97.75
Aman,Yadav,STU00082,Male,19,Mathematics,52.47,96.99,61.89,81.05,40.25,2.8,B,11.6,70.05,Medium,63,73.77
Maria,Smith,STU00083,Female,24,Physics,61.59,93.03,99.41,89.1,93.28,3.75,A+,14.9,93.7,High,85,99.59
Imran,Brown,STU00084,Female,24,Commerce,95.81,71.4,81.75,68.58,49.67,2.71,C,20.2,67.85,Low,33,62.46
Ahmed,Davis,STU00085,Male,23,Business,78.39,73.52,96.52,97.2,74.46,3.42,A,20.4,85.42,Medium,78,93.08
Emma,Brown,STU00086,Female,20,AI & ML,88.2,51.42,74.11,47.5,46.74,2.2,D,26.6,54.94,Low,20,81.74
Arjun,Jones,STU00087,Female,21,Business,58.54,80.64,99.5,99.94,35.97,3.16,B,23.7,79.01,Medium,63,47.65
Liam,Verma,STU00088,Female,24,Physics,72.06,73.99,57.62,63.53,74.26,2.69,C,5.8,67.35,Medium,79,91.23
Neha,Jones,STU00089,Male,23,Business,85.05,97.19,77.05,78.03,37.25,2.9,B,24.3,72.38,Low,31,43.94
Ali,Brown,STU00090,Male,24,AI & ML,83.61,71.47,73.11,93.22,55.6,2.93,B,26.3,73.35,Medium,68,90.28
Maria,Brown,STU00091,Female,22,Mathematics,80.3,85.9,63.56,82.7,41.06,2.73,C,5.1,68.31,Low,48,96.79
Meera,Smith,STU00092,Male,18,AI & ML,72.88,59.57,54.6,93.83,62.95,2.71,C,13.3,67.74,High,99,59.5
Liam,Brown,STU00093,Female,22,Business,95.66,75.07,89.48,63.65,93.77,3.22,A,28.8,80.49,High,84,41.72
Rahul,Singh,STU00094,Male,19,Physics,88.99,96.06,67.52,73.14,70.76,3.07,B,11.3,76.87,Medium,67,68.92
Kabir,Singh,STU00095,Male,24,Physics,75.59,78.91,61.74,57.21,90.5,2.88,B,17.1,72.09,Low,30,99.17
Liam,Patel,STU00096,Female,24,Mathematics,55.65,89.25,57.84,80.3,67.19,2.95,B,20.7,73.64,Medium,72,96.71
Raj,Smith,STU00097,Female,23,Engineering,68.87,98.91,77.05,49.68,47.56,2.73,C,34.8,68.3,Medium,63,92.16
Priya,Johnson,STU00098,Male,23,Mathematics,67.6,72.86,63.78,69.9,43.94,2.5,C,33.4,62.62,Medium,50,60.12
Anjali,Sharma,STU00099,Female,18,Business,53.18,99.31,91.08,78.36,66.68,3.35,A,23.0,83.86,High,80,63.2
Aman,Davis,STU00100,Male,24,Engineering,59.27,39.64,75.8,68.61,85.73,2.7,C,19.9,67.45,Medium,61,92.26
Maria,Davis,STU00101,Female,24,AI & ML,95.38,48.22,67.05,63.75,81,2.6,C,10.5,65.0,High,81,90.75
Ali,Patel,STU00102,Female,20,Physics,66.27,73.94,75.32,54.61,73.31,2.77,C,7.8,69.3,Medium,71,45.27
Simran,Kumar,STU00103,Female,19,Physics,75.03,57.8,64.84,90.62,90.72,3.04,B,11.2,76.0,Medium,51,84.9
Arjun,Patel,STU00104,Male,19,Mathematics,80.39,53.63,91.69,82.06,78.53,3.06,B,13.4,76.48,Medium,59,95.45
Pooja,Smith,STU00105,Female,23,AI & ML,56.1,40.6,99.59,95.07,58.1,2.93,B,13.8,73.34,High,90,44.63
Neha,Verma,STU00106,Male,22,CS,54.17,75.66,69.2,87.65,44.36,2.77,C,27.0,69.22,Low,44,98.75
Emma,Davis,STU00107,Male,21,AI & ML,57.4,57.99,49.08,97.91,78.32,2.83,B,33.2,70.82,Medium,76,50.21
Neha,Sharma,STU00108,Male,18,CS,77.19,45.33,71.58,78.96,69.37,2.65,C,8.4,66.31,Medium,61,83.7
Ahmed,Jones,STU00109,Male,23,Physics,61.18,39.12,72.19,44.97,90.01,2.46,C,11.9,61.57,Low,30,42.09
Simran,Singh,STU00110,Female,18,Mathematics,87.08,92.89,71.75,92.94,48.33,3.06,B,14.1,76.48,Medium,62,71.58
Omar,Singh,STU00111,Female,20,Physics,99.97,93.06,60.38,50.79,84,2.88,B,21.8,72.06,Medium,70,63.02
Kabir,Smith,STU00112,Female,20,Physics,70.46,73.53,69.5,74.7,95.9,3.14,B,18.1,78.41,High,92,66.2
Rohit,Verma,STU00113,Male,24,Commerce,82.51,45.34,95.02,43.23,75.09,2.59,C,24.7,64.67,Medium,73,90.86
Ravi,Smith,STU00114,Male,18,CS,66.02,46.32,95.9,85.86,99.77,3.28,A,18.0,81.96,Medium,72,53.36
Maria,Johnson,STU00115,Male,22,Commerce,91.11,76.58,45.88,41.88,47.5,2.12,D,22.9,52.96,High,94,81.48
Ahmed,Jones,STU00116,Male,20,Engineering,62.75,54.34,70.22,78.84,69.5,2.73,C,14.6,68.22,High,92,68.76
Sara,Yadav,STU00117,Male,24,Mathematics,92.84,35.89,56.61,93.96,81.83,2.68,C,14.3,67.07,Medium,68,94.82
Kabir,Johnson,STU00118,Female,22,Mathematics,98.64,92.87,72.73,57.17,35.88,2.59,C,18.9,64.66,High,84,86.16
Liam,Yadav,STU00119,Female,24,Business,69.85,84.41,91,82.81,35.43,2.94,B,10.8,73.41,High,92,79.8
John,Kumar,STU00120,Male,18,CS,82.7,64.08,90.1,68.9,38.33,2.61,C,24.8,65.35,Medium,52,48.91
Meera,Verma,STU00121,Female,20,Mathematics,53.36,68.3,64.81,97.23,43.07,2.73,C,27.8,68.35,Medium,53,41.75
Rahul,Johnson,STU00122,Female,18,AI & ML,71.5,38.54,85.91,98.23,55.76,2.78,C,5.7,69.61,Medium,77,99.99
Divya,Kumar,STU00123,Male,18,Business,79.34,41.08,58.56,41.87,46.21,1.88,F,18.5,46.93,Low,45,91.93
Karan,Smith,STU00124,Female,20,CS,57.67,85.23,56.31,93.99,36.88,2.72,C,12.5,68.1,Medium,78,94.53
Aman,Brown,STU00125,Male,20,CS,61.3,55.86,72.06,80.37,98.38,3.07,B,19.8,76.67,Medium,67,97.07
Ravi,Davis,STU00126,Male,24,CS,84.39,89.65,61.14,94.89,91.33,3.37,A,8.8,84.25,Medium,67,70.41
Ravi,Yadav,STU00127,Male,22,Mathematics,81.76,48.88,96.48,74.77,45.41,2.66,C,27.8,66.38,Medium,50,70.3
Raj,Davis,STU00128,Male,24,Commerce,91.93,60.19,43.7,45.99,85.93,2.36,D,13.5,58.95,High,81,80.16
Rahul,Smith,STU00129,Female,19,Physics,75.6,61.62,68.33,51.76,62.29,2.44,C,32.0,61.0,High,96,55.02
Ali,Verma,STU00130,Female,21,Commerce,66.02,56.83,40.17,94.92,81.12,2.73,C,5.5,68.26,Medium,67,78.17
Arjun,Davis,STU00131,Female,22,Commerce,82.75,88.4,63.45,46.06,42.56,2.4,C,11.3,60.12,Medium,58,80.43
Kabir,Williams,STU00132,Male,22,AI & ML,61.35,75.65,90.32,91.63,70.99,3.29,A,15.3,82.15,High,80,93.64
Simran,Jones,STU00133,Female,24,Business,79.32,47.64,58.71,46.96,88.38,2.42,C,27.3,60.42,High,96,86.06
Rakesh,Patel,STU00134,Male,22,AI & ML,58.29,70.89,62.37,78.45,71.81,2.84,B,28.3,70.88,Low,21,80.19
Divya,Brown,STU00135,Male,23,Mathematics,52.16,86.72,61.17,97.6,59.21,3.05,B,27.7,76.17,Low,37,81.93
Priya,Patel,STU00136,Male,21,Engineering,73.68,73.14,75.74,93.97,58.18,3.01,B,28.9,75.26,Low,33,58.96
Rakesh,Williams,STU00137,Male,19,AI & ML,94.85,40.4,69.26,99.14,43.5,2.52,C,10.7,63.08,Medium,60,78.18
Imran,Jones,STU00138,Male,23,Commerce,92.67,97.27,79.12,44.19,68.53,2.89,B,11.7,72.28,High,82,58.37
Divya,Singh,STU00139,Male,21,CS,71.35,94.9,65.54,61.58,45.59,2.68,C,14.2,66.9,Medium,54,71.86
Neha,Davis,STU00140,Male,21,AI & ML,79.92,95.66,89.4,50.92,47.86,2.84,B,23.3,70.96,Medium,55,97.59
Kabir,Jones,STU00141,Male,22,Mathematics,89,89.03,93.3,79.78,92.63,3.55,A,11.7,88.69,Medium,56,44.32
Priya,Johnson,STU00142,Female,24,AI & ML,75.84,72.02,93.31,91.32,69.17,3.26,A,23.3,81.45,High,82,46.79
Ali,Yadav,STU00143,Female,23,Business,53.91,59.65,64.48,42.59,58.84,2.26,D,19.9,56.39,High,87,56.77
Priya,Yadav,STU00144,Female,18,Commerce,74.53,48.46,53.32,73.68,52.63,2.28,D,22.9,57.02,Low,28,63.26
Ahmed,Johnson,STU00145,Male,23,CS,59.78,85.31,89.16,90.6,35.5,3.01,B,33.2,75.14,Low,21,82.38
Kabir,Johnson,STU00146,Female,22,Business,97.65,98.09,77.85,83.83,98.9,3.59,A,9.1,89.67,Medium,66,84.12
Neha,Patel,STU00147,Male,21,CS,76.93,67.75,47.46,66.27,56.83,2.38,D,8.4,59.58,Low,43,98.21
Raj,Davis,STU00148,Male,19,Business,89.58,44.51,51.56,74.09,76.42,2.47,C,9.7,61.64,Medium,51,40.47
Priya,Patel,STU00149,Female,24,Commerce,82.38,73.81,56.95,59.84,52.54,2.43,C,11.8,60.78,Medium,58,78.48
Rakesh,Johnson,STU00150,Male,18,Commerce,64.01,37.43,87.99,47.6,66.61,2.4,D,23.0,59.91,Medium,53,84.46
Sneha,Singh,STU00151,Male,22,CS,93.8,97.58,87.24,80.36,54.58,3.2,B,19.8,79.94,Low,24,51.42
Liam,Jones,STU00152,Male,23,Engineering,91.61,80.45,65.31,45.53,39.49,2.31,D,22.7,57.7,High,82,56.21
John,Kumar,STU00153,Female,24,Mathematics,70.29,82.48,44.96,98.33,68.07,2.94,B,19.1,73.46,Medium,51,62.43
Raj,Yadav,STU00154,Female,20,CS,72.46,38.54,55.57,83.65,58.23,2.36,D,23.1,59.0,Medium,64,76.1
Neha,Jones,STU00155,Female,21,Mathematics,97.49,52.41,48.16,40.13,98.44,2.39,D,26.4,59.78,High,92,75.7
Simran,Williams,STU00156,Male,22,Physics,55.65,50.72,54.34,87.07,51.26,2.43,C,28.5,60.85,Low,40,83.86
Ravi,Sharma,STU00157,Female,24,CS,98.57,89.17,97.13,53.06,91.98,3.31,A,9.0,82.84,High,99,85.38
Kabir,Williams,STU00158,Female,20,Business,78.65,54.03,91.19,72.83,59.55,2.78,C,6.6,69.4,Medium,62,93.26
Sneha,Davis,STU00159,Male,24,Mathematics,83.68,37.11,45.89,61.68,48.94,1.94,F,29.6,48.41,Medium,57,47.24
Isha,Davis,STU00160,Male,20,Mathematics,53.65,93.51,67.66,81.29,88.85,3.31,A,25.0,82.83,Medium,62,71.18
Isha,Sharma,STU00161,Male,18,AI & ML,93.18,85.76,98.31,82.6,47.94,3.15,B,13.0,78.65,High,86,41.34
Emma,Patel,STU00162,Male,22,Engineering,56.44,72.32,54.67,60.34,82.55,2.7,C,28.7,67.47,Low,27,71.11
Anjali,Jones,STU00163,Female,19,Commerce,74.43,75.15,99.41,89.25,35.96,3,B,32.6,74.94,High,88,45.88
Simran,Sharma,STU00164,Male,20,Business,62.09,74.05,72.52,70.24,64.97,2.82,B,14.4,70.44,Low,46,89.86
Rahul,Yadav,STU00165,Female,21,Business,67.6,92.01,97.29,66.25,41.31,2.97,B,8.9,74.22,High,85,43.48
Simran,Singh,STU00166,Male,23,AI & ML,83.46,60.16,86.49,98.82,69.77,3.15,B,8.4,78.81,High,82,53.7
Divya,Kumar,STU00167,Male,24,Commerce,89.48,45.9,90.53,40.16,69.23,2.46,C,13.6,61.45,Medium,72,84.8
Aman,Kumar,STU00168,Male,21,Commerce,62.14,49.35,97.85,80.76,60.94,2.89,B,22.7,72.22,Medium,71,72.62
Isha,Singh,STU00169,Male,22,Mathematics,61.64,50.24,98.87,60.05,97.31,3.06,B,5.1,76.62,Medium,54,61.22
Aman,Yadav,STU00170,Female,21,Physics,56.86,84.77,41.44,66.03,91.03,2.83,B,27.6,70.82,Low,20,50.7
Sneha,Brown,STU00171,Female,24,CS,57.7,43.56,42.69,74.54,99.19,2.6,C,6.3,65.0,Medium,56,79.14
Ali,Williams,STU00172,Female,22,CS,97.36,97.85,74.92,59.48,55.84,2.88,B,6.5,72.02,Medium,63,72.71
Priya,Brown,STU00173,Male,18,Business,94.02,75,94.84,61.16,73.22,3.04,B,24.2,76.06,High,93,97.41
Sara,Singh,STU00174,Male,24,Commerce,52.98,43.06,84.86,88.41,84.97,3.01,B,24.0,75.32,High,80,55.0
Anjali,Davis,STU00175,Female,21,Physics,57.39,55,49.21,75.28,81.89,2.61,C,6.6,65.34,High,87,79.77
Simran,Yadav,STU00176,Male,23,Commerce,72.72,57.6,97.09,65.44,98.03,3.18,B,19.8,79.54,High,87,96.3
Divya,Jones,STU00177,Female,18,CS,66.3,36.91,98.34,58.11,94.95,2.88,B,19.0,72.08,Medium,56,99.03
John,Davis,STU00178,Male,20,Engineering,68.55,85.93,48.91,61.87,80.32,2.77,C,24.1,69.26,High,97,67.88
Simran,Singh,STU00179,Female,24,Mathematics,52.99,78.86,42.23,92.53,98.87,3.12,B,22.7,78.12,Medium,68,69.32
Maria,Johnson,STU00180,Male,23,Commerce,64.6,64.44,81.04,92.89,48.75,2.87,B,32.4,71.78,Medium,67,87.33
Divya,Patel,STU00181,Male,24,Business,57.17,58.87,60.42,61.26,59.93,2.4,C,10.9,60.12,High,96,98.47
Ahmed,Patel,STU00182,Female,20,Mathematics,54.34,36.03,69.88,72.99,51.81,2.31,D,14.0,57.68,High,91,85.41
Sara,Kumar,STU00183,Male,24,AI & ML,72.16,67.48,40.32,89.34,75.4,2.73,C,24.8,68.14,Medium,61,56.14
John,Verma,STU00184,Male,23,Engineering,64.73,74.37,68.85,73.57,60.73,2.78,C,10.6,69.38,Medium,50,50.14
Raj,Davis,STU00185,Female,22,Engineering,67.02,67.68,68.44,95.41,90.27,3.22,A,25.1,80.45,High,88,59.23
Omar,Patel,STU00186,Female,21,CS,67.29,43.52,49.84,58.12,58.68,2.1,D,18.3,52.54,Low,36,63.62
Omar,Johnson,STU00187,Male,19,CS,83.35,67.13,79.81,91.27,72.96,3.11,B,8.4,77.79,High,100,91.39
Kabir,Davis,STU00188,Female,22,Business,87.6,50.98,71.58,60,59.1,2.42,C,22.6,60.41,Medium,72,81.43
Neha,Jones,STU00189,Female,24,Business,80.19,49.41,84.45,65,88.52,2.87,B,25.5,71.84,Low,42,71.15
John,Smith,STU00190,Female,19,Mathematics,79.61,63.89,76.41,46.26,55.87,2.42,C,13.7,60.61,Medium,59,80.37
Rahul,Jones,STU00191,Male,20,Business,76.34,79.31,54.3,83.88,58.55,2.76,C,28.6,69.01,Medium,76,42.83
Anjali,Sharma,STU00192,Male,18,Mathematics,93.74,38.07,43.68,74.71,44.97,2.01,D,11.1,50.36,Low,22,55.16
Ali,Jones,STU00193,Female,20,Physics,89.05,87,56.92,57.34,80.74,2.82,B,15.1,70.5,High,87,97.93
Simran,Jones,STU00194,Male,19,Physics,84.85,42.49,90.14,61.93,97.81,2.92,B,8.7,73.09,Medium,65,87.16
Meera,Brown,STU00195,Male,18,CS,76.56,76.52,67.11,77.25,81.08,3.02,B,10.9,75.49,High,89,83.39
Aman,Smith,STU00196,Female,18,CS,63.73,69.01,70.37,95.2,64.97,3,B,28.6,74.89,Medium,78,83.92
Neha,Davis,STU00197,Female,22,AI & ML,60.55,83.06,65.77,59.85,64.58,2.73,C,13.4,68.31,Low,36,82.83
Imran,Davis,STU00198,Female,22,Physics,88.75,37.34,86.02,55.94,73.58,2.53,C,33.7,63.22,Medium,66,56.71
John,Brown,STU00199,Female,22,Business,88.88,56.12,94.38,98.39,35.21,2.84,B,5.4,71.02,Medium,57,47.84
Liam,Williams,STU00200,Male,21,Mathematics,96.29,46.1,82.31,99.88,95.26,3.24,A,33.3,80.89,Medium,53,61.28
Rakesh,Singh,STU00201,Female,20,AI & ML,51.15,88.17,90.09,78.97,46.67,3.04,B,27.2,75.98,Medium,74,79.87
Arjun,Davis,STU00202,Female,18,Engineering,95.96,75.01,49.96,74.63,58.57,2.58,C,32.8,64.54,Medium,66,80.73
Emma,Yadav,STU00203,Male,23,CS,68.02,45.68,60.35,92.17,68.16,2.66,C,14.3,66.59,Low,49,57.73
Ali,Williams,STU00204,Female,23,Commerce,75.88,99.95,76.47,41.62,44.99,2.63,C,8.5,65.76,Low,39,82.81
Ali,Brown,STU00205,Female,21,Engineering,93.41,86.88,53.63,68.27,46.31,2.55,C,16.1,63.77,Medium,69,63.95
Pooja,Singh,STU00206,Female,22,CS,68.46,79.8,51.07,45.87,73.63,2.5,C,9.9,62.59,Medium,70,52.51
Maria,Singh,STU00207,Female,22,Mathematics,69.48,83.94,85.87,85.69,82.39,3.38,A,20.8,84.47,High,100,78.24
Isha,Smith,STU00208,Male,21,Physics,63.01,98.38,79.23,77.38,54.79,3.1,B,17.1,77.45,Medium,68,75.29
